Sobic.001G000100.1	Sb01g000200
Sobic.001G000200.1	Sb01g000210
Sobic.001G000400.1	Sb01g000220
Sobic.001G000400.2	Sb01g000220
Sobic.001G000400.3	Sb01g000220
Sobic.001G000400.4	Sb01g000220
Sobic.001G000400.5	Sb01g000220
Sobic.001G000400.6	Sb01g000220
Sobic.001G000700.1	Sb01g000230
Sobic.001G000700.2	Sb01g000230
Sobic.001G000700.3	Sb01g000230
Sobic.001G000700.4	Sb01g000230
Sobic.001G000700.5	Sb01g000230
Sobic.001G000700.6	Sb01g000230
Sobic.001G000800.1	Sb01g000240
Sobic.001G000900.1	Sb01g000250
Sobic.001G001000.1	Sb01g000255
Sobic.001G001200.1	Sb01g000260
Sobic.001G001300.1	Sb01g000270
Sobic.001G001800.1	Sb01g000290
Sobic.001G001800.2	Sb01g000290
Sobic.001G001900.1	Sb01g000300
Sobic.001G002000.1	Sb01g000310
Sobic.001G002200.1	Sb01g000330
Sobic.001G002300.1	Sb01g000340
Sobic.001G002400.1	Sb01g000350
Sobic.001G002500.1	Sb01g000352
Sobic.001G002600.1	Sb01g000355
Sobic.001G002600.2	Sb01g000355
Sobic.001G002800.1	Sb01g000365
Sobic.001G002800.2	Sb01g000365
Sobic.001G003000.1	Sb01g000370
Sobic.001G003100.1	Sb01g000380
Sobic.001G003200.4	Sb01g000390
Sobic.001G003300.1	Sb01g000400
Sobic.001G003300.2	Sb01g000400
Sobic.001G003400.2	Sb01g000410
Sobic.001G003400.3	Sb01g000410
Sobic.001G003500.1	Sb01g000420
Sobic.001G003500.2	Sb01g000420
Sobic.001G003500.3	Sb01g000420
Sobic.001G003600.1	Sb01g000430
Sobic.001G003700.1	Sb01g000440
Sobic.001G004000.1	Sb01g000450
Sobic.001G004200.1	Sb01g000470
Sobic.001G004300.2	Sb01g000480
Sobic.001G004300.3	Sb01g000480
Sobic.001G004400.1	Sb01g000490
Sobic.001G004500.1	Sb01g000500
Sobic.001G004600.1	Sb01g000510
Sobic.001G004700.1	Sb01g000520
Sobic.001G004800.1	Sb01g000530
Sobic.001G005000.1	Sb01g000550
Sobic.001G005000.2	Sb01g000550
Sobic.001G005100.1	Sb01g000560
